CustomerID,Annual Income (k$),Spending Score (1-100),Cluster
1,69,2,1
2,57,90,3
3,72,17,1
4,90,33,2
5,55,9,1
6,55,43,1
7,91,48,2
8,75,39,1
9,50,93,3
10,70,42,1
11,50,26,0
12,50,99,3
13,64,50,1
14,21,25,0
15,25,24,0
16,48,13,0
17,39,60,0
18,66,7,1
19,41,57,0
20,31,36,0
21,89,45,2
22,55,20,1
23,61,65,3
24,31,8,0
25,49,16,0
26,62,14,1
27,36,76,3
28,67,87,3
29,47,15,0
30,54,92,3
31,47,98,3
32,97,66,2
33,59,32,1
34,38,87,3
35,76,63,2
36,35,86,3
37,64,51,1
38,20,25,0
39,33,58,0
40,63,63,3
41,74,62,2
42,63,22,1
43,57,58,3
44,53,58,3
45,30,86,3
46,45,49,0
47,50,52,3
48,81,42,2
49,66,70,3
50,24,15,0
51,66,54,1
52,52,60,3
53,46,97,3
54,72,8,1
55,80,53,2
56,78,60,2
57,43,5,0
58,53,68,3
59,66,6,1
60,79,96,3
61,50,94,3
62,56,47,1
63,37,99,3
64,36,55,0
65,76,40,1
66,87,52,2
67,58,16,1
68,80,13,1
69,67,30,1
70,47,19,0
71,67,17,1
72,90,63,2
73,59,19,1
74,91,92,2
75,7,58,0
76,76,55,2
77,61,90,3
78,54,90,3
79,61,62,3
80,20,23,0
81,55,9,1
82,67,12,1
83,89,1,1
84,49,58,3
85,43,1,0
86,49,34,0
87,78,96,3
88,66,48,1
89,49,89,3
90,70,1,1
91,61,16,1
92,79,61,2
93,45,64,3
94,53,63,3
95,52,69,3
96,30,22,0
97,65,93,3
98,65,67,3
99,60,76,3
100,55,26,1
101,31,16,0
102,51,51,3
103,53,86,3
104,43,57,0
105,56,29,1
106,68,78,3
107,97,92,2
108,63,69,3
109,65,47,1
110,58,94,3
111,21,62,0
112,59,69,3
113,61,76,3
114,109,16,2
115,56,90,3
116,66,90,3
117,59,48,1
118,36,85,3
119,82,39,2
120,75,100,3
121,75,33,1
122,41,94,3
123,88,23,2
124,31,10,0
125,71,69,3
126,103,100,2
127,40,34,0
128,48,52,0
129,61,95,3
130,49,10,0
131,28,19,0
132,61,58,3
133,38,96,3
134,69,1,1
135,41,69,3
136,90,4,1
137,44,16,0
138,53,24,1
139,76,80,3
140,35,2,0
141,64,92,3
142,86,32,2
143,27,91,3
144,63,84,3
145,65,24,1
146,75,12,1
147,35,50,0
148,33,35,0
149,70,33,1
150,65,33,1
151,65,61,3
152,66,51,1
153,46,43,0
154,64,12,1
155,65,67,3
156,45,65,3
157,97,33,2
158,69,40,1
159,36,74,3
160,73,43,1
161,40,44,0
162,75,29,1
163,83,13,1
164,43,12,0
165,79,95,3
166,68,46,1
167,76,2,1
168,97,35,2
169,55,87,3
170,44,81,3
171,42,90,3
172,43,8,0
173,58,93,3
174,66,26,1
175,65,74,3
176,76,90,3
177,60,34,1
178,89,7,1
179,54,68,3
180,114,58,2
181,72,75,3
182,42,29,0
183,38,36,0
184,69,89,3
185,55,21,1
186,74,36,1
187,69,10,1
188,58,73,3
189,43,24,0
190,29,64,0
191,51,99,3
192,77,49,2
193,64,99,3
194,35,36,0
195,63,82,3
196,67,96,3
197,42,24,0
198,63,23,1
199,61,62,3
200,37,96,3
