VideoID,Views,Likes,Watch Time (mins),Cluster
1,122958,39052,3825,3
2,672155,22762,4516,2
3,132932,8492,6220,1
4,366838,30635,3153,3
5,260178,13167,5341,1
6,645167,48133,6960,0
7,111268,23699,2588,3
8,733180,35322,5276,0
9,55886,11937,5389,1
10,138337,14139,6172,1
11,522430,30918,3144,3
12,955698,19215,3019,2
13,88498,11065,5782,1
14,900159,24638,5445,0
15,913756,42630,5375,0
16,176203,5156,5519,1
17,192335,32582,3979,3
18,279167,47816,5348,3
19,42090,8210,5439,1
20,330365,13873,3928,2
21,65820,27366,7798,1
22,788201,17512,5710,2
23,322879,33370,3213,3
24,719315,7010,5984,2
25,328069,45553,3537,3
26,777997,25546,6180,0
27,200041,306,6737,1
28,792743,21618,3768,2
29,104355,22461,6445,1
30,236796,23519,5619,1
31,215176,48802,6233,3
32,185779,41623,7845,1
33,348449,45251,4631,3
34,422909,22503,3869,3
35,990436,18241,3665,2
36,259795,14920,3776,2
37,487232,40442,4884,3
38,918040,6474,5511,2
39,501186,1778,5415,2
40,157730,33927,6240,1
41,871910,16298,5019,2
42,385681,10014,7180,1
43,150503,27990,4603,3
44,655811,22399,9080,0
45,528035,43685,5938,0
46,649143,43789,3714,3
47,453366,42657,3393,3
48,66725,49180,5723,3
49,130981,44120,4664,3
50,85654,2793,6071,1
51,954277,29567,5709,0
52,906778,29823,4890,0
53,592723,46799,3729,3
54,320030,3727,2727,2
55,329947,26039,4330,3
56,556839,49025,6284,0
57,903648,43041,5321,0
58,274538,21934,3131,3
59,332236,18147,5259,1
60,529178,26205,5577,0
61,566894,10330,3674,2
62,490492,15807,5230,2
63,257840,22076,5087,1
64,474254,44362,3285,3
65,350457,23876,5536,1
66,666987,30180,5841,0
67,271936,1406,6624,1
68,240931,6876,6580,1
69,240629,27351,2933,3
70,206041,9574,3593,2
71,699361,40394,5772,0
72,732912,22059,5770,0
73,418113,5630,5772,2
74,69148,29420,10779,1
75,778089,3848,5856,2
76,649531,32068,6703,0
77,252995,32662,6431,1
78,907606,13645,5977,2
79,679843,763,4527,2
80,911790,34866,6138,0
81,573843,8094,3840,2
82,257508,28121,4644,3
83,804591,30403,4271,0
84,897942,3404,5122,2
85,107530,46676,8471,1
86,605365,39453,2199,3
87,823352,17775,6029,0
88,461337,44517,2580,3
89,725839,24038,4292,2
90,806889,23764,6633,0
91,460773,1736,5096,2
92,209261,20180,3383,3
93,765469,27828,3927,2
94,342097,49950,6019,3
95,316139,26836,3904,3
96,172829,28773,5324,1
97,272836,37605,5068,3
98,439974,47423,4022,3
99,990913,46745,8215,0
100,203283,954,5950,1
101,197769,24648,1962,3
102,562353,38723,5279,0
103,224165,7492,4007,2
104,624587,46817,6278,0
105,951110,21656,3811,2
106,536822,38659,4827,3
107,488879,26409,5757,0
108,565685,22019,6298,0
109,783038,5031,3199,2
110,354531,33070,4498,3
111,264160,44315,4287,3
112,580879,12788,4020,2
113,221884,25442,7648,1
114,24247,37257,5607,1
115,25300,2427,3108,2
116,468281,40872,6376,0
117,608086,40645,8183,0
118,534556,297,6548,2
119,349951,23609,2720,3
120,275329,34798,4273,3
121,720064,44642,6900,0
122,743139,15187,3938,2
123,433315,22771,5665,1
124,927075,25284,6161,0
125,517588,27948,3609,3
126,237584,42207,4910,3
127,563332,20766,138,2
128,838646,44457,3463,0
129,979732,15808,4621,2
130,377896,26470,3128,3
131,49984,49911,7448,1
132,303918,2911,2854,2
133,265712,47111,4339,3
134,121151,6646,5196,1
135,456808,34854,7161,0
136,986067,30306,2846,2
137,134767,41206,6744,1
138,649663,11511,5015,2
139,704550,3011,3527,2
140,137330,1834,5693,1
141,481754,18327,5298,2
142,302648,8780,4099,2
143,689519,19460,5104,2
144,14986,18443,4422,1
145,587146,5859,5170,2
146,130312,23178,5993,1
147,13666,35253,7379,1
148,301804,11211,3143,2
149,135633,37604,8199,1
150,289998,1902,2071,2
